Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Trx/Day
6/29/2016,4114.6487,396171,81509701.90625,56856452114446290314,49897
6/30/2016,4137.6421,398289,81541688.00000,87887411162619001904,63952
7/1/2016,4235.8486,401254,81574306.28125,45454096208644167574,40085
7/2/2016,4246.5515,403829,81606222.84375,24375605550274470943,39257
7/3/2016,4343.8485,407099,81638262.53125,30726876586413611744,39757
7/4/2016,4332.1514,409961,81670403.46875,26772880956090346975,39950
7/5/2016,4335.0033,413875,81701981.28125,30158881660062777024,39270
7/6/2016,4336.5273,416917,81734336.12500,29692077315522818820,37900
7/7/2016,4320.9295,420028,81766232.06250,26613300448323964993,40433
7/8/2016,4345.7744,423126,81798181.59375,39347483545330195078,42506
7/9/2016,4356.4367,427153,81830979.71875,49114684665136429858,40410
7/10/2016,4385.4846,430282,81862945.18750,27646053877971549530,39358
7/11/2016,4454.8880,432814,81894930.50000,28548693257569811254,38582
7/12/2016,4453.2789,436469,81926691.59375,32638639041850692874,40811
7/13/2016,4517.2296,439291,81958850.18750,24749750157973457754,35740
7/14/2016,4472.3930,442427,81990660.96875,32409641880695731411,42809
7/15/2016,4402.0765,445925,82022545.65625,29146970369041368470,41110
7/16/2016,4426.8996,448149,82054716.12500,23880860191960260850,38062
7/17/2016,4446.0043,449627,82086493.46875,19647012433455876559,33914
7/18/2016,4569.4936,452120,82118991.59375,25653265275700645835,39198
7/19/2016,4514.7929,455066,82150765.50000,29217898571946031301,44184
7/20/2016,4425.8220,459828,82182680.34375,75585687674878401770,50631
7/21/2016,4602.5527,463245,82215464.09375,34210520717130707526,44882
7/22/2016,4434.4853,467682,82247154.71875,37417847605889702822,48458
7/23/2016,4619.5511,471467,82279549.71875,33056305196837497063,45006
7/24/2016,4498.6015,475286,82311025.96875,37346353490042772973,58215
7/25/2016,4353.0916,479819,82343017.53125,39430337707067546294,54856
7/26/2016,4147.0192,485119,82373795.03125,45488885084867599598,61930
7/27/2016,3975.9477,490249,82406732.84375,38240125606431086309,53035
7/28/2016,4230.6929,493294,82439087.06250,63951262384608731431,48555
7/29/2016,4137.8516,496589,82471026.43750,45682048274658652403,47243
7/30/2016,4057.8986,498814,82502668.15625,29990469208664903505,42011
7/31/2016,4120.2423,501305,82534887.68750,30371510899954035714,48749
8/1/2016,4033.4068,503754,82566482.06250,30441802272129106447,45978
8/2/2016,3736.2769,507459,82597837.21875,33964003806568787283,49041
8/3/2016,3614.2588,510443,82629544.87500,33026036095433308317,49475
8/4/2016,3936.9981,513258,82662397.68750,32411900469726911819,46761
8/5/2016,4031.1962,515463,82694629.71875,29404612597034459174,43212
8/6/2016,3924.4177,517347,82726219.56250,26054509040847270792,41487
8/7/2016,4058.0205,519108,82758510.65625,27696032432606981451,42955
8/8/2016,4136.7742,521038,82790686.59375,53896575426021106667,42984
8/10/2016,4442.4061,523626,82822849.56250,33422242281535432520,46290
8/9/2016,4353.1675,526538,82855515.96875,31476820396721226395,47057
8/11/2016,4538.8823,529018,82887720.81250,32086721642682205179,48171
8/12/2016,4529.4509,531192,82919824.09375,30199866770868407584,44400
8/13/2016,4479.0387,532827,82951823.00000,25077813847103889024,41088
8/14/2016,4488.9892,534412,82983791.90625,24198118880821938736,40577
8/15/2016,4512.4457,536080,83016120.81250,27155155556446947416,42302
8/16/2016,4623.2492,537798,83048158.00000,31164284928675119435,48949
8/17/2016,4616.8304,539428,83080152.53125,28701739012835344623,44867
8/18/2016,4717.6488,541085,83112941.59375,36061490801676948657,47799
8/19/2016,4666.3602,542717,83144783.00000,29832358749630857041,42948
8/20/2016,4807.7401,544620,83177018.62500,26607695325666671940,41318
8/21/2016,4860.5322,546514,83209710.96875,29017442472433238394,42543
8/22/2016,4890.1286,548109,83242003.78125,29909456093232765075,44250
8/23/2016,4980.5674,550573,83274187.68750,72118570861643088694,48430
8/24/2016,4968.8061,552384,83306461.12500,30003258780428722599,46821
8/25/2016,5076.8460,554545,83338596.75000,32482903928131161029,49868
8/26/2016,5242.0628,556489,83370468.15625,31575935947838293296,47292
8/27/2016,5241.1926,557883,83402774.56250,28579939237612103103,47938
8/28/2016,5174.1701,559482,83434802.53125,25727256715378786888,42607
8/29/2016,5110.3024,561294,83466728.93750,29406896677409737984,45510
8/30/2016,5104.6336,563151,83498603.78125,32246376594363230143,46979
8/31/2016,5212.9746,565136,83530738.31250,29997664256262162265,45846
9/1/2016,5264.4573,567294,83562483.00000,31743655942212787466,47491
9/2/2016,5339.3071,569263,83594867.06250,45229877971231147985,55413
9/3/2016,5064.5140,571037,83626363.00000,27180749805405891762,44792
9/4/2016,4925.8701,572702,83658227.06250,49336067762022995563,48128
9/5/2016,5116.8905,574371,83690416.75000,28628867463828499834,42667
9/6/2016,5066.0973,576228,83722098.15625,33380266725753517830,49102
9/7/2016,5193.0105,577984,83754365.96875,34199424352039586673,48701
9/8/2016,5135.7331,579977,83786274.56250,41206539778718589470,55970
9/9/2016,5165.9252,582016,83818491.43750,41896879007367117800,53918
9/10/2016,5212.7523,583909,83850322.06250,27407063341467179868,42875
9/11/2016,5414.1144,585641,83882675.03125,28548045711239096429,43345
9/12/2016,5397.9619,588032,83914912.06250,35029999011945536360,45123
9/13/2016,5369.0839,589982,83946816.90625,30392171843924340108,42591
9/14/2016,5550.9528,591822,83979345.65625,36299358965057371729,53859
